zip,date,911-score
20782,2015-06-01,9.96875
20782,2015-07-01,9.96875
20782,2015-08-01,9.96875
20782,2015-09-01,9.9375
20782,2015-10-01,9.96875
20782,2015-11-01,9.96875
20782,2015-12-01,9.9375
20782,2016-01-01,9.9375
20782,2016-02-01,9.96875
20782,2016-03-01,9.90625
20782,2016-06-01,9.96875
20782,2016-07-01,9.90625
20782,2016-08-01,9.96875
20782,2016-09-01,9.9375
20782,2016-10-01,9.9375
20782,2016-11-01,9.96875
20782,2016-12-01,9.90625
20782,2017-01-01,9.9375
20782,2017-02-01,9.96875
20782,2017-03-01,9.96875
20782,2017-04-01,9.9375
20782,2017-05-01,9.9375
20782,2017-06-01,9.9375
20782,2017-07-01,9.90625
20782,2017-09-01,9.9375
20782,2017-10-01,9.875
20782,2017-11-01,9.9375
20782,2017-12-01,9.96875
20782,2018-01-01,9.9375
20782,2018-02-01,9.96875
20782,2018-03-01,9.875
20782,2018-04-01,9.96875
20782,2018-05-01,9.875
20782,2018-06-01,9.84375
20782,2018-07-01,9.90625
20782,2018-08-01,9.96875
20782,2018-09-01,9.90625
20782,2018-10-01,9.84375
20782,2018-11-01,9.90625
20783,2017-08-01,9.96875
20812,2015-03-01,9.875
20812,2015-05-01,9.96875
20812,2015-07-01,9.96875
20812,2015-10-01,9.96875
20812,2016-01-01,9.90625
20812,2016-02-01,9.96875
20812,2016-06-01,9.96875
20812,2016-12-01,9.90625
20812,2017-04-01,9.96875
20812,2017-05-01,9.9375
20812,2017-06-01,9.96875
20812,2017-07-01,9.96875
20812,2017-08-01,9.96875
20812,2017-10-01,9.96875
20812,2017-12-01,9.96875
20812,2018-01-01,9.96875
20812,2018-02-01,9.96875
20812,2018-04-01,9.96875
20812,2018-05-01,9.90625
20812,2018-09-01,9.90625
20812,2018-10-01,9.96875
20812,2018-11-01,9.96875
20814,2017-08-01,9.96875
20815,2018-08-01,9.96875
20817,2016-09-01,9.96875
20838,2015-04-01,9.96875
20838,2015-07-01,9.90625
20838,2015-08-01,9.875
20838,2015-09-01,9.96875
20838,2015-10-01,9.9375
20838,2015-11-01,9.96875
20838,2015-12-01,9.9375
20838,2016-06-01,9.96875
20838,2016-07-01,9.90625
20838,2016-08-01,9.96875
20838,2016-09-01,9.875
20838,2016-10-01,9.96875
20838,2016-11-01,9.875
20838,2016-12-01,9.875
20838,2017-01-01,9.96875
20838,2017-02-01,9.9375
20838,2017-03-01,9.96875
20838,2017-05-01,9.96875
20838,2017-06-01,9.90625
20838,2017-07-01,9.96875
20838,2017-09-01,9.90625
